Store,Product,Dollars
6639,Product17_701139667440,6033.39
4425,Product48_947877706050,2428.86
7354,Product26_969383468339,7228.4
9341,Product12_309156910760,6240.09
2794,Product8_483642823314,8162.01
4859,Product18_583877270485,3494.11
4348,Product29_720630802981,3023.89
3144,Product15_204925440499,8879.54
2055,Product26_969383468339,9953.17
1275,Product29_720630802981,3590.24
8597,Product8_483642823314,2922.51
3267,Product22_456694518796,1591.64
0181,Product16_067024275192,9407.21
1116,Product8_483642823314,4897.56
7022,Product42_439435119589,4196.22
2371,Product47_994079427399,3659.85
2736,Product24_026275464157,1616.99
7226,Product5_962240023270,8539.5
6128,Product21_602317401174,1005.11
5053,Product22_456694518796,9648.3
6213,Product34_681650395706,687.84
0760,Product26_969383468339,7772.42
5087,Product46_471710588576,602.01
6843,Product30_282065256654,3558.71
4426,Product25_712876788696,7801.58
1528,Product4_054973295521,8482.32
2522,Product3_576730797113,8507.54
1959,Product23_399308656375,1983.2
7233,Product32_610207186318,8925.8
9782,Product21_602317401174,3784.91
4503,Product18_583877270485,89.02
8712,Product36_501698203349,4468.62
0382,Product42_439435119589,988.82
4182,Product45_278182441624,2545.46
1444,Product13_504536845436,6087.84
5332,Product40_555260290319,4061.93
8805,Product28_432483932364,8733.71
7132,Product47_994079427399,7660.79
8505,Product25_712876788696,3335.93
7986,Product49_625088676444,7800.69
6468,Product37_280168771200,4429.02
3313,Product43_170569128577,219.38
0639,Product5_962240023270,2044.84
2833,Product47_994079427399,6874.08
0649,Product38_787150892300,7287.97
1351,Product46_471710588576,874.03
9020,Product45_278182441624,6115.11
5362,Product41_961919712214,9790.96
8984,Product49_625088676444,8819.69
3818,Product1_672843293577,716.93
3253,Product23_399308656375,8776.48
8805,Product17_701139667440,66.35
4755,Product21_602317401174,2569.42
8219,Product36_501698203349,6649.31
3406,Product25_712876788696,6334.15
7884,Product5_962240023270,2898.15
5349,Product10_152017009337,6932.58
1700,Product3_576730797113,4289.52
7278,Product8_483642823314,1562.69
1867,Product31_022705476919,3805.26
1847,Product41_961919712214,3655.49
2918,Product22_456694518796,7966.59
0374,Product27_808662828215,6565.4
7024,Product2_426762991953,6797.18
5929,Product2_426762991953,8128.33
4470,Product15_204925440499,9212.56
0632,Product11_740390785655,6124.69
2601,Product35_271300728073,84.34
7301,Product1_672843293577,1117.41
7535,Product37_280168771200,4664.35
0611,Product44_263947759193,9735.08
9807,Product20_114232074142,5095.42
1333,Product20_114232074142,8345.16
7158,Product25_712876788696,8925.33
2316,Product50_970966092558,7543.47
7426,Product24_026275464157,9570.82
3763,Product37_280168771200,9571.48
4769,Product46_471710588576,344.39
5206,Product35_271300728073,8778.9
1575,Product1_672843293577,6911.92
7304,Product41_961919712214,6580.02
4741,Product31_022705476919,5783.11
8308,Product27_808662828215,8171.98
3385,Product27_808662828215,4079.38
1394,Product36_501698203349,905.99
2315,Product6_826830262783,8703.12
4350,Product25_712876788696,1270.66
5541,Product22_456694518796,3351.77
2375,Product41_961919712214,8607.45
9325,Product16_067024275192,4806.62
0147,Product47_994079427399,6264.17
0685,Product36_501698203349,3408.78
5866,Product33_982721679227,5108.11
3831,Product11_740390785655,584.55
9971,Product14_960811442186,4731.22
3628,Product32_610207186318,218.61
9143,Product11_740390785655,1068.81
8315,Product15_204925440499,9172.61
1808,Product27_808662828215,5199.03
4583,Product50_970966092558,1498.19
5837,Product37_280168771200,6010.27
0675,Product50_970966092558,644.91
6058,Product25_712876788696,4826.41
6576,Product43_170569128577,7879.25
6821,Product9_401673678906,3435.19
2807,Product47_994079427399,3676.99
4765,Product16_067024275192,7920.94
0176,Product9_401673678906,7778.99
8141,Product17_701139667440,6696.59
5087,Product13_504536845436,6850.18
3029,Product25_712876788696,3526.09
1777,Product28_432483932364,2059.65
0118,Product33_982721679227,4308.27
3846,Product33_982721679227,8716.62
2847,Product50_970966092558,4240.47
3796,Product8_483642823314,2014.14
6661,Product3_576730797113,9092.68
5273,Product12_309156910760,2208.51
5079,Product9_401673678906,8173.16
1884,Product6_826830262783,7442.02
4425,Product9_401673678906,88.67
0430,Product23_399308656375,7319.68
2096,Product44_263947759193,7910.03
2794,Product50_970966092558,3322.13
0352,Product36_501698203349,624.16
9099,Product25_712876788696,1559.81
7886,Product30_282065256654,2740.99
1554,Product16_067024275192,2434.31
9001,Product4_054973295521,4981.47
4323,Product38_787150892300,5190.18
3437,Product5_962240023270,4154.75
0577,Product31_022705476919,9292.93
9235,Product6_826830262783,670.17
6934,Product27_808662828215,6646.03
3008,Product13_504536845436,5090.73
9444,Product44_263947759193,8723.24
2891,Product13_504536845436,1052.5
0758,Product37_280168771200,2688.79
3719,Product17_701139667440,458.81
8125,Product19_625705419767,3678.48
6514,Product28_432483932364,5925.54
0143,Product22_456694518796,3157.58
3332,Product33_982721679227,7546.04
